,Unnamed: 0,Overall Test Number,Algorithm,Map Type,Map Id,Start Point,Goal Point,Test Number,Iteration,Timestep,Num Collision Checks,Batch Size,Cumulative Num Sampled,Current Path Cost,Any Path Found
40,40,30040,NRRT*,alternatinggaps,2,"[162, 57]","[152, 237]",0,173,3.681498838397302,225,80,174,201.5419474345708,1
41,41,30041,NRRT*,alternatinggaps,2,"[162, 57]","[152, 237]",1,55,1.2955172786438838,65,80,56,216.46000607343197,1
42,42,30042,NRRT*,alternatinggaps,2,"[162, 57]","[152, 237]",2,34,2.7532389147346166,43,80,35,213.1594339714311,1
43,43,30043,NRRT*,alternatinggaps,2,"[162, 57]","[152, 237]",3,88,3.302742002732053,105,80,89,210.84674998339392,1
44,44,30044,NRRT*,alternatinggaps,2,"[162, 57]","[152, 237]",4,36,2.7372915728156713,44,80,37,193.80114556678888,1
45,45,30045,NRRT*,alternatinggaps,2,"[35, 248]","[188, 25]",0,47,1.2758695611679929,52,80,48,357.9350983021334,1
46,46,30046,NRRT*,alternatinggaps,2,"[35, 248]","[188, 25]",1,74,2.6496932635033508,85,80,75,318.51784933681785,1
47,47,30047,NRRT*,alternatinggaps,2,"[35, 248]","[188, 25]",2,46,2.81751859021832,53,80,47,332.1959877919194,1
48,48,30048,NRRT*,alternatinggaps,2,"[35, 248]","[188, 25]",3,82,3.1908016188209203,102,80,83,357.4267089965203,1
49,49,30049,NRRT*,alternatinggaps,2,"[35, 248]","[188, 25]",4,37,3.87104254794766,52,80,38,322.4614979441912,1
50,50,30050,NRRT*,alternatinggaps,2,"[162, 57]","[152, 237]",0,27,2.701616583592191,33,100,28,223.6057124024987,1
51,51,30051,NRRT*,alternatinggaps,2,"[162, 57]","[152, 237]",1,138,4.297151683098569,174,100,139,213.15528663744124,1
52,52,30052,NRRT*,alternatinggaps,2,"[162, 57]","[152, 237]",2,56,2.1335779199265836,58,100,57,204.8320052390121,1
53,53,30053,NRRT*,alternatinggaps,2,"[162, 57]","[152, 237]",3,128,3.8339138946767486,164,100,129,222.90475199964715,1
54,54,30054,NRRT*,alternatinggaps,2,"[162, 57]","[152, 237]",4,32,1.9747616615488846,32,100,33,214.2846945990243,1
55,55,30055,NRRT*,alternatinggaps,2,"[35, 248]","[188, 25]",0,107,3.616928992993131,127,100,108,348.2330984772647,1
56,56,30056,NRRT*,alternatinggaps,2,"[35, 248]","[188, 25]",1,40,2.7629066689078954,45,100,41,379.9421499756692,1
