Overall Test Number,Algorithm,Map Type,Map Id,Start Point,Goal Point,Test Number,Iteration,Timestep,Num Collision Checks,Batch Size,Cumulative Num Sampled,Current Path Cost,Any Path Found
10050,fmt,multibugtrap,28,"[104, 41]","[196, 196]",0,1,0.29,4,5,5,-1,False
10051,fmt,multibugtrap,28,"[104, 41]","[196, 196]",1,0,0.1,2,5,5,-1,False
10052,fmt,multibugtrap,28,"[104, 41]","[196, 196]",2,0,0.61,5,5,5,-1,False
10053,fmt,multibugtrap,28,"[104, 41]","[196, 196]",3,4,1.07,10,5,5,-1,False
10054,fmt,multibugtrap,28,"[104, 41]","[196, 196]",4,2,0.56,5,5,5,-1,False
10055,fmt,multibugtrap,28,"[59, 247]","[193, 12]",0,0,0.12,3,5,5,-1,False
10056,fmt,multibugtrap,28,"[59, 247]","[193, 12]",1,3,0.95,7,5,5,-1,False
10057,fmt,multibugtrap,28,"[59, 247]","[193, 12]",2,4,1.39,9,5,5,-1,False
10058,fmt,multibugtrap,28,"[59, 247]","[193, 12]",3,3,0.85,7,5,5,308.64,True
10059,fmt,multibugtrap,28,"[59, 247]","[193, 12]",4,2,0.45,4,5,5,-1,False
10060,fmt,bugtrap,37,"[122, 34]","[111, 214]",0,3,0.65,7,5,5,-1,False
10061,fmt,bugtrap,37,"[122, 34]","[111, 214]",1,6,0.97,11,5,5,349.33,True
10062,fmt,bugtrap,37,"[122, 34]","[111, 214]",2,3,0.93,12,5,5,-1,False
10063,fmt,bugtrap,37,"[122, 34]","[111, 214]",3,6,0.35,7,5,5,346.97,True
10064,fmt,bugtrap,37,"[122, 34]","[111, 214]",4,4,0.44,8,5,5,335.68,True
10065,fmt,bugtrap,37,"[12, 242]","[248, 110]",0,2,0.19,5,5,5,-1,False
10066,fmt,bugtrap,37,"[12, 242]","[248, 110]",1,6,0.69,9,5,5,444.01,True
10067,fmt,bugtrap,37,"[12, 242]","[248, 110]",2,2,0.24,6,5,5,-1,False
10068,fmt,bugtrap,37,"[12, 242]","[248, 110]",3,0,0.0,0,5,5,-1,False
10069,fmt,bugtrap,37,"[12, 242]","[248, 110]",4,5,0.4,8,5,5,308.79,True
10070,fmt,alternatinggaps,02,"[162, 57]","[152, 237]",0,4,0.29,7,10,10,-1,False
10071,fmt,alternatinggaps,02,"[162, 57]","[152, 237]",1,6,0.21,6,10,10,-1,False
10072,fmt,alternatinggaps,02,"[162, 57]","[152, 237]",2,7,0.49,13,10,10,-1,False
10073,fmt,alternatinggaps,02,"[162, 57]","[152, 237]",3,5,0.17,5,10,10,-1,False
10074,fmt,alternatinggaps,02,"[162, 57]","[152, 237]",4,5,0.33,8,10,10,-1,False
10075,fmt,alternatinggaps,02,"[35, 248]","[188, 25]",0,6,0.41,9,10,10,-1,False
10076,fmt,alternatinggaps,02,"[35, 248]","[188, 25]",1,3,0.08,3,10,10,-1,False
10077,fmt,alternatinggaps,02,"[35, 248]","[188, 25]",2,2,0.35,8,10,10,-1,False
10078,fmt,alternatinggaps,02,"[35, 248]","[188, 25]",3,5,0.19,5,10,10,-1,False
10079,fmt,alternatinggaps,02,"[35, 248]","[188, 25]",4,5,0.36,8,10,10,-1,False
10080,fmt,bugtrapforest,10,"[144, 93]","[44, 243]",0,5,1.35,16,10,10,-1,False
10081,fmt,bugtrapforest,10,"[144, 93]","[44, 243]",1,11,1.49,24,10,10,423.81,True
10082,fmt,bugtrapforest,10,"[144, 93]","[44, 243]",2,7,1.88,24,10,10,-1,False
10083,fmt,bugtrapforest,10,"[144, 93]","[44, 243]",3,3,0.37,5,10,10,-1,False
10084,fmt,bugtrapforest,10,"[144, 93]","[44, 243]",4,4,1.41,14,10,10,-1,False
10085,fmt,bugtrapforest,10,"[23, 210]","[224, 29]",0,5,1.29,12,10,10,-1,False
10086,fmt,bugtrapforest,10,"[23, 210]","[224, 29]",1,10,1.21,19,10,10,371.02,True
10087,fmt,bugtrapforest,10,"[23, 210]","[224, 29]",2,2,0.71,10,10,10,-1,False
10088,fmt,bugtrapforest,10,"[23, 210]","[224, 29]",3,6,0.83,8,10,10,-1,False
10089,fmt,bugtrapforest,10,"[23, 210]","[224, 29]",4,3,0.58,9,10,10,-1,False
10090,fmt,forest,13,"[108, 175]","[33, 11]",0,4,1.01,17,10,10,-1,False
10091,fmt,forest,13,"[108, 175]","[33, 11]",1,3,0.36,7,10,10,-1,False
10092,fmt,forest,13,"[108, 175]","[33, 11]",2,10,2.12,26,10,10,-1,False
10093,fmt,forest,13,"[108, 175]","[33, 11]",3,2,0.85,11,10,10,-1,False
10094,fmt,forest,13,"[108, 175]","[33, 11]",4,8,1.6,23,10,10,-1,False
10095,fmt,forest,13,"[234, 250]","[11, 97]",0,3,0.92,14,10,10,-1,False
10096,fmt,forest,13,"[234, 250]","[11, 97]",1,1,0.16,1,10,10,-1,False
10097,fmt,forest,13,"[234, 250]","[11, 97]",2,9,1.63,16,10,10,315.92,True
10098,fmt,forest,13,"[234, 250]","[11, 97]",3,4,0.64,7,10,10,-1,False
10099,fmt,forest,13,"[234, 250]","[11, 97]",4,9,1.43,18,10,10,406.34,True
10100,fmt,gapsforest,19,"[218, 110]","[38, 99]",0,3,0.71,9,10,10,-1,False
10101,fmt,gapsforest,19,"[218, 110]","[38, 99]",1,2,0.63,10,10,10,-1,False
10102,fmt,gapsforest,19,"[218, 110]","[38, 99]",2,3,0.61,9,10,10,-1,False
10103,fmt,gapsforest,19,"[218, 110]","[38, 99]",3,1,0.53,7,10,10,-1,False
10104,fmt,gapsforest,19,"[218, 110]","[38, 99]",4,6,0.93,13,10,10,-1,False
10105,fmt,gapsforest,19,"[206, 209]","[6, 27]",0,3,0.55,9,10,10,-1,False
10106,fmt,gapsforest,19,"[206, 209]","[6, 27]",1,0,0.24,3,10,10,-1,False
10107,fmt,gapsforest,19,"[206, 209]","[6, 27]",2,3,0.67,10,10,10,-1,False
10108,fmt,gapsforest,19,"[206, 209]","[6, 27]",3,1,0.33,5,10,10,-1,False
10109,fmt,gapsforest,19,"[206, 209]","[6, 27]",4,6,0.86,13,10,10,-1,False
10110,fmt,maze,24,"[93, 71]","[223, 196]",0,3,0.94,7,10,10,-1,False
10111,fmt,maze,24,"[93, 71]","[223, 196]",1,3,1.46,17,10,10,-1,False
10112,fmt,maze,24,"[93, 71]","[223, 196]",2,4,1.74,19,10,10,-1,False
10113,fmt,maze,24,"[93, 71]","[223, 196]",3,3,1.04,9,10,10,-1,False
10114,fmt,maze,24,"[93, 71]","[223, 196]",4,2,1.64,15,10,10,-1,False
10115,fmt,maze,24,"[229, 7]","[73, 228]",0,3,0.94,5,10,10,-1,False
10116,fmt,maze,24,"[229, 7]","[73, 228]",1,3,1.35,13,10,10,-1,False
10117,fmt,maze,24,"[229, 7]","[73, 228]",2,4,2.62,18,10,10,-1,False
10118,fmt,maze,24,"[229, 7]","[73, 228]",3,3,1.07,8,10,10,-1,False
10119,fmt,maze,24,"[229, 7]","[73, 228]",4,2,1.51,11,10,10,-1,False
10120,fmt,multibugtrap,28,"[104, 41]","[196, 196]",0,3,0.65,9,10,10,-1,False
10121,fmt,multibugtrap,28,"[104, 41]","[196, 196]",1,1,0.52,9,10,10,-1,False
10122,fmt,multibugtrap,28,"[104, 41]","[196, 196]",2,5,2.52,28,10,10,-1,False
10123,fmt,multibugtrap,28,"[104, 41]","[196, 196]",3,8,1.55,15,10,10,-1,False
10124,fmt,multibugtrap,28,"[104, 41]","[196, 196]",4,8,2.09,21,10,10,-1,False
10125,fmt,multibugtrap,28,"[59, 247]","[193, 12]",0,0,0.16,4,10,10,-1,False
10126,fmt,multibugtrap,28,"[59, 247]","[193, 12]",1,1,0.15,5,10,10,-1,False
10127,fmt,multibugtrap,28,"[59, 247]","[193, 12]",2,4,2.4,19,10,10,-1,False
10128,fmt,multibugtrap,28,"[59, 247]","[193, 12]",3,7,0.96,10,10,10,308.64,True
10129,fmt,multibugtrap,28,"[59, 247]","[193, 12]",4,8,1.34,16,10,10,427.54,True
10130,fmt,bugtrap,37,"[122, 34]","[111, 214]",0,11,0.79,16,10,10,360.36,True
10131,fmt,bugtrap,37,"[122, 34]","[111, 214]",1,7,0.57,9,10,10,-1,False
10132,fmt,bugtrap,37,"[122, 34]","[111, 214]",2,11,1.03,19,10,10,330.99,True
10133,fmt,bugtrap,37,"[122, 34]","[111, 214]",3,10,0.61,13,10,10,361.46,True
10134,fmt,bugtrap,37,"[122, 34]","[111, 214]",4,8,0.91,16,10,10,335.68,True
10135,fmt,bugtrap,37,"[12, 242]","[248, 110]",0,6,0.55,13,10,10,314.62,True
10136,fmt,bugtrap,37,"[12, 242]","[248, 110]",1,3,0.3,5,10,10,-1,False
10137,fmt,bugtrap,37,"[12, 242]","[248, 110]",2,10,0.78,17,10,10,445.77,True
10138,fmt,bugtrap,37,"[12, 242]","[248, 110]",3,8,0.44,11,10,10,355.22,True
10139,fmt,bugtrap,37,"[12, 242]","[248, 110]",4,7,0.82,14,10,10,313.84,True
10140,fmt,alternatinggaps,02,"[162, 57]","[152, 237]",0,12,0.47,14,20,20,-1,False
10141,fmt,alternatinggaps,02,"[162, 57]","[152, 237]",1,10,0.48,14,20,20,-1,False
10142,fmt,alternatinggaps,02,"[162, 57]","[152, 237]",2,14,0.91,26,20,20,-1,False
10143,fmt,alternatinggaps,02,"[162, 57]","[152, 237]",3,10,0.58,17,20,20,-1,False
10144,fmt,alternatinggaps,02,"[162, 57]","[152, 237]",4,8,0.51,14,20,20,-1,False
10145,fmt,alternatinggaps,02,"[35, 248]","[188, 25]",0,8,0.41,10,20,20,-1,False
10146,fmt,alternatinggaps,02,"[35, 248]","[188, 25]",1,10,0.5,14,20,20,-1,False
10147,fmt,alternatinggaps,02,"[35, 248]","[188, 25]",2,6,0.68,17,20,20,-1,False
10148,fmt,alternatinggaps,02,"[35, 248]","[188, 25]",3,10,0.66,16,20,20,-1,False
10149,fmt,alternatinggaps,02,"[35, 248]","[188, 25]",4,12,0.65,17,20,20,-1,False
10150,fmt,bugtrapforest,10,"[144, 93]","[44, 243]",0,11,2.22,31,20,20,-1,False
10151,fmt,bugtrapforest,10,"[144, 93]","[44, 243]",1,19,2.74,45,20,20,369.41,True
10152,fmt,bugtrapforest,10,"[144, 93]","[44, 243]",2,20,3.34,53,20,20,279.12,True
10153,fmt,bugtrapforest,10,"[144, 93]","[44, 243]",3,8,1.82,19,20,20,-1,False
10154,fmt,bugtrapforest,10,"[144, 93]","[44, 243]",4,10,2.09,26,20,20,-1,False
10155,fmt,bugtrapforest,10,"[23, 210]","[224, 29]",0,9,1.92,25,20,20,-1,False
10156,fmt,bugtrapforest,10,"[23, 210]","[224, 29]",1,17,2.48,40,20,20,385.68,True
10157,fmt,bugtrapforest,10,"[23, 210]","[224, 29]",2,17,2.84,39,20,20,317.21,True
10158,fmt,bugtrapforest,10,"[23, 210]","[224, 29]",3,6,1.23,15,20,20,-1,False
10159,fmt,bugtrapforest,10,"[23, 210]","[224, 29]",4,5,0.52,10,20,20,-1,False
10160,fmt,forest,13,"[108, 175]","[33, 11]",0,4,1.13,20,20,20,-1,False
10161,fmt,forest,13,"[108, 175]","[33, 11]",1,14,2.16,41,20,20,325.29,True
10162,fmt,forest,13,"[108, 175]","[33, 11]",2,19,3.07,53,20,20,-1,False
10163,fmt,forest,13,"[108, 175]","[33, 11]",3,21,3.17,46,20,20,393.09,True
10164,fmt,forest,13,"[108, 175]","[33, 11]",4,19,2.79,45,20,20,-1,False
10165,fmt,forest,13,"[234, 250]","[11, 97]",0,6,1.07,19,20,20,-1,False
10166,fmt,forest,13,"[234, 250]","[11, 97]",1,11,2.48,39,20,20,420.43,True
10167,fmt,forest,13,"[234, 250]","[11, 97]",2,15,2.63,37,20,20,325.87,True
10168,fmt,forest,13,"[234, 250]","[11, 97]",3,17,2.52,34,20,20,353.86,True
10169,fmt,forest,13,"[234, 250]","[11, 97]",4,20,2.39,37,20,20,410.5,True
10170,fmt,gapsforest,19,"[218, 110]","[38, 99]",0,5,0.94,18,20,20,-1,False
10171,fmt,gapsforest,19,"[218, 110]","[38, 99]",1,9,1.04,20,20,20,-1,False
10172,fmt,gapsforest,19,"[218, 110]","[38, 99]",2,5,0.65,11,20,20,-1,False
10173,fmt,gapsforest,19,"[218, 110]","[38, 99]",3,3,0.7,17,20,20,-1,False
10174,fmt,gapsforest,19,"[218, 110]","[38, 99]",4,12,1.87,36,20,20,-1,False
10175,fmt,gapsforest,19,"[206, 209]","[6, 27]",0,5,0.84,16,20,20,-1,False
10176,fmt,gapsforest,19,"[206, 209]","[6, 27]",1,9,1.38,26,20,20,-1,False
10177,fmt,gapsforest,19,"[206, 209]","[6, 27]",2,5,0.71,12,20,20,-1,False
10178,fmt,gapsforest,19,"[206, 209]","[6, 27]",3,2,0.23,5,20,20,-1,False
10179,fmt,gapsforest,19,"[206, 209]","[6, 27]",4,12,1.75,35,20,20,-1,False
10180,fmt,maze,24,"[93, 71]","[223, 196]",0,7,2.5,31,20,20,-1,False
10181,fmt,maze,24,"[93, 71]","[223, 196]",1,3,2.29,29,20,20,-1,False
10182,fmt,maze,24,"[93, 71]","[223, 196]",2,12,5.53,67,20,20,-1,False
10183,fmt,maze,24,"[93, 71]","[223, 196]",3,7,3.45,30,20,20,-1,False
10184,fmt,maze,24,"[93, 71]","[223, 196]",4,5,1.97,21,20,20,-1,False
10185,fmt,maze,24,"[229, 7]","[73, 228]",0,7,3.14,26,20,20,-1,False
10186,fmt,maze,24,"[229, 7]","[73, 228]",1,3,1.85,22,20,20,-1,False
10187,fmt,maze,24,"[229, 7]","[73, 228]",2,12,5.64,61,20,20,-1,False
10188,fmt,maze,24,"[229, 7]","[73, 228]",3,7,3.29,25,20,20,-1,False
10189,fmt,maze,24,"[229, 7]","[73, 228]",4,5,1.9,18,20,20,-1,False
10190,fmt,multibugtrap,28,"[104, 41]","[196, 196]",0,15,3.8,49,20,20,460.43,True
10191,fmt,multibugtrap,28,"[104, 41]","[196, 196]",1,14,3.39,57,20,20,-1,False
10192,fmt,multibugtrap,28,"[104, 41]","[196, 196]",2,8,3.69,50,20,20,-1,False
10193,fmt,multibugtrap,28,"[104, 41]","[196, 196]",3,7,1.44,19,20,20,-1,False
10194,fmt,multibugtrap,28,"[104, 41]","[196, 196]",4,7,1.71,27,20,20,-1,False
10195,fmt,multibugtrap,28,"[59, 247]","[193, 12]",0,0,0.29,5,20,20,-1,False
10196,fmt,multibugtrap,28,"[59, 247]","[193, 12]",1,12,2.45,34,20,20,357.62,True
10197,fmt,multibugtrap,28,"[59, 247]","[193, 12]",2,12,4.13,44,20,20,-1,False
10198,fmt,multibugtrap,28,"[59, 247]","[193, 12]",3,13,3.24,35,20,20,-1,False
10199,fmt,multibugtrap,28,"[59, 247]","[193, 12]",4,7,1.04,11,20,20,-1,False
10200,fmt,bugtrap,37,"[122, 34]","[111, 214]",0,21,1.29,28,20,20,310.47,True
10201,fmt,bugtrap,37,"[122, 34]","[111, 214]",1,21,1.83,39,20,20,318.8,True
10202,fmt,bugtrap,37,"[122, 34]","[111, 214]",2,19,2.05,44,20,20,-1,False
10203,fmt,bugtrap,37,"[122, 34]","[111, 214]",3,17,1.91,35,20,20,352.71,True
10204,fmt,bugtrap,37,"[122, 34]","[111, 214]",4,16,1.15,28,20,20,312.31,True
10205,fmt,bugtrap,37,"[12, 242]","[248, 110]",0,7,0.7,16,20,20,292.64,True
10206,fmt,bugtrap,37,"[12, 242]","[248, 110]",1,16,1.62,31,20,20,446.93,True
10207,fmt,bugtrap,37,"[12, 242]","[248, 110]",2,18,2.82,53,20,20,421.54,True
10208,fmt,bugtrap,37,"[12, 242]","[248, 110]",3,12,1.64,31,20,20,325.27,True
10209,fmt,bugtrap,37,"[12, 242]","[248, 110]",4,14,0.98,24,20,20,313.84,True
10210,fmt,alternatinggaps,02,"[162, 57]","[152, 237]",0,21,0.93,29,40,40,-1,False
10211,fmt,alternatinggaps,02,"[162, 57]","[152, 237]",1,29,1.29,38,40,40,188.24,True
10212,fmt,alternatinggaps,02,"[162, 57]","[152, 237]",2,20,0.84,27,40,40,-1,False
10213,fmt,alternatinggaps,02,"[162, 57]","[152, 237]",3,19,0.92,32,40,40,-1,False
10214,fmt,alternatinggaps,02,"[162, 57]","[152, 237]",4,18,1.08,31,40,40,-1,False
10215,fmt,alternatinggaps,02,"[35, 248]","[188, 25]",0,19,0.92,27,40,40,-1,False
10216,fmt,alternatinggaps,02,"[35, 248]","[188, 25]",1,27,1.31,39,40,40,319.09,True
10217,fmt,alternatinggaps,02,"[35, 248]","[188, 25]",2,20,0.9,27,40,40,-1,False
10218,fmt,alternatinggaps,02,"[35, 248]","[188, 25]",3,21,1.04,31,40,40,-1,False
10219,fmt,alternatinggaps,02,"[35, 248]","[188, 25]",4,22,1.22,35,40,40,-1,False
10220,fmt,bugtrapforest,10,"[144, 93]","[44, 243]",0,30,3.77,72,40,40,323.19,True
10221,fmt,bugtrapforest,10,"[144, 93]","[44, 243]",1,27,4.16,74,40,40,-1,False
10222,fmt,bugtrapforest,10,"[144, 93]","[44, 243]",2,32,4.77,81,40,40,274.45,True
10223,fmt,bugtrapforest,10,"[144, 93]","[44, 243]",3,29,3.86,69,40,40,-1,False
10224,fmt,bugtrapforest,10,"[144, 93]","[44, 243]",4,31,5.32,87,40,40,311.09,True
10225,fmt,bugtrapforest,10,"[23, 210]","[224, 29]",0,39,4.31,78,40,40,391.93,True
10226,fmt,bugtrapforest,10,"[23, 210]","[224, 29]",1,13,2.76,51,40,40,-1,False
10227,fmt,bugtrapforest,10,"[23, 210]","[224, 29]",2,36,4.85,70,40,40,302.2,True
10228,fmt,bugtrapforest,10,"[23, 210]","[224, 29]",3,26,3.2,64,40,40,377.41,True
10229,fmt,bugtrapforest,10,"[23, 210]","[224, 29]",4,27,4.1,73,40,40,347.23,True
10230,fmt,forest,13,"[108, 175]","[33, 11]",0,21,2.13,47,40,40,294.53,True
10231,fmt,forest,13,"[108, 175]","[33, 11]",1,38,4.62,88,40,40,335.16,True
10232,fmt,forest,13,"[108, 175]","[33, 11]",2,40,4.44,83,40,40,-1,False
10233,fmt,forest,13,"[108, 175]","[33, 11]",3,38,4.12,79,40,40,309.51,True
10234,fmt,forest,13,"[108, 175]","[33, 11]",4,40,4.25,78,40,40,311.09,True
10235,fmt,forest,13,"[234, 250]","[11, 97]",0,28,3.29,64,40,40,364.42,True
10236,fmt,forest,13,"[234, 250]","[11, 97]",1,31,4.44,78,40,40,320.91,True
10237,fmt,forest,13,"[234, 250]","[11, 97]",2,35,4.06,72,40,40,386.38,True
10238,fmt,forest,13,"[234, 250]","[11, 97]",3,34,3.63,60,40,40,357.82,True
10239,fmt,forest,13,"[234, 250]","[11, 97]",4,35,3.93,69,40,40,303.8,True
10240,fmt,gapsforest,19,"[218, 110]","[38, 99]",0,13,1.47,36,40,40,-1,False
10241,fmt,gapsforest,19,"[218, 110]","[38, 99]",1,16,1.83,34,40,40,-1,False
10242,fmt,gapsforest,19,"[218, 110]","[38, 99]",2,9,0.99,20,40,40,-1,False
10243,fmt,gapsforest,19,"[218, 110]","[38, 99]",3,12,1.9,46,40,40,181.56,True
10244,fmt,gapsforest,19,"[218, 110]","[38, 99]",4,25,2.72,55,40,40,-1,False
10245,fmt,gapsforest,19,"[206, 209]","[6, 27]",0,13,1.53,34,40,40,-1,False
10246,fmt,gapsforest,19,"[206, 209]","[6, 27]",1,16,2.02,40,40,40,-1,False
10247,fmt,gapsforest,19,"[206, 209]","[6, 27]",2,10,1.25,27,40,40,-1,False
10248,fmt,gapsforest,19,"[206, 209]","[6, 27]",3,3,0.25,7,40,40,-1,False
10249,fmt,gapsforest,19,"[206, 209]","[6, 27]",4,25,2.31,54,40,40,-1,False
10250,fmt,maze,24,"[93, 71]","[223, 196]",0,15,3.45,52,40,40,-1,False
10251,fmt,maze,24,"[93, 71]","[223, 196]",1,10,4.26,80,40,40,-1,False
10252,fmt,maze,24,"[93, 71]","[223, 196]",2,12,4.53,65,40,40,-1,False
10253,fmt,maze,24,"[93, 71]","[223, 196]",3,11,4.26,53,40,40,-1,False
10254,fmt,maze,24,"[93, 71]","[223, 196]",4,15,6.18,81,40,40,-1,False
10255,fmt,maze,24,"[229, 7]","[73, 228]",0,15,4.97,49,40,40,-1,False
10256,fmt,maze,24,"[229, 7]","[73, 228]",1,3,0.84,10,40,40,-1,False
10257,fmt,maze,24,"[229, 7]","[73, 228]",2,12,4.97,57,40,40,-1,False
10258,fmt,maze,24,"[229, 7]","[73, 228]",3,11,4.41,50,40,40,-1,False
10259,fmt,maze,24,"[229, 7]","[73, 228]",4,15,6.5,79,40,40,-1,False
10260,fmt,multibugtrap,28,"[104, 41]","[196, 196]",0,33,5.2,79,40,40,317.02,True
10261,fmt,multibugtrap,28,"[104, 41]","[196, 196]",1,32,7.82,135,40,40,489.2,True
10262,fmt,multibugtrap,28,"[104, 41]","[196, 196]",2,35,6.37,99,40,40,359.91,True
10263,fmt,multibugtrap,28,"[104, 41]","[196, 196]",3,31,4.95,62,40,40,283.63,True
10264,fmt,multibugtrap,28,"[104, 41]","[196, 196]",4,35,6.74,90,40,40,383.82,True
10265,fmt,multibugtrap,28,"[59, 247]","[193, 12]",0,30,5.08,84,40,40,287.9,True
10266,fmt,multibugtrap,28,"[59, 247]","[193, 12]",1,33,5.49,93,40,40,364.51,True
10267,fmt,multibugtrap,28,"[59, 247]","[193, 12]",2,32,5.91,97,40,40,309.19,True
10268,fmt,multibugtrap,28,"[59, 247]","[193, 12]",3,1,0.16,4,40,40,-1,False
10269,fmt,multibugtrap,28,"[59, 247]","[193, 12]",4,33,5.33,86,40,40,340.3,True
10270,fmt,bugtrap,37,"[122, 34]","[111, 214]",0,39,2.68,63,40,40,318.64,True
10271,fmt,bugtrap,37,"[122, 34]","[111, 214]",1,37,2.1,57,40,40,303.31,True
10272,fmt,bugtrap,37,"[122, 34]","[111, 214]",2,37,3.06,80,40,40,338.44,True
10273,fmt,bugtrap,37,"[122, 34]","[111, 214]",3,41,3.9,79,40,40,358.91,True
10274,fmt,bugtrap,37,"[122, 34]","[111, 214]",4,40,2.37,69,40,40,274.1,True
10275,fmt,bugtrap,37,"[12, 242]","[248, 110]",0,30,2.3,60,40,40,296.72,True
10276,fmt,bugtrap,37,"[12, 242]","[248, 110]",1,35,1.77,52,40,40,318.29,True
10277,fmt,bugtrap,37,"[12, 242]","[248, 110]",2,34,2.74,74,40,40,310.83,True
10278,fmt,bugtrap,37,"[12, 242]","[248, 110]",3,30,2.89,58,40,40,468.5,True
10279,fmt,bugtrap,37,"[12, 242]","[248, 110]",4,33,2.09,60,40,40,311.81,True
10280,fmt,alternatinggaps,02,"[162, 57]","[152, 237]",0,39,1.04,39,80,80,-1,False
