Overall Test Number,Algorithm,Map Type,Map Id,Start Point,Goal Point,Test Number,Iteration,Timestep,Num Collision Checks,Batch Size,Cumulative Num Sampled,Current Path Cost,Any Path Found
10000,fmt,alternatinggaps,02,"[162, 57]","[152, 237]",0,2,0.2,4,5,5,-1,False
10001,fmt,alternatinggaps,02,"[162, 57]","[152, 237]",1,2,0.23,4,5,5,-1,False
10002,fmt,alternatinggaps,02,"[162, 57]","[152, 237]",2,4,0.32,7,5,5,-1,False
10003,fmt,alternatinggaps,02,"[162, 57]","[152, 237]",3,3,0.3,6,5,5,-1,False
10004,fmt,alternatinggaps,02,"[162, 57]","[152, 237]",4,2,0.2,4,5,5,-1,False
10005,fmt,alternatinggaps,02,"[35, 248]","[188, 25]",0,3,0.18,4,5,5,-1,False
10006,fmt,alternatinggaps,02,"[35, 248]","[188, 25]",1,3,0.2,5,5,5,-1,False
10007,fmt,alternatinggaps,02,"[35, 248]","[188, 25]",2,1,0.19,4,5,5,-1,False
10008,fmt,alternatinggaps,02,"[35, 248]","[188, 25]",3,0,0.0,0,5,5,-1,False
10009,fmt,alternatinggaps,02,"[35, 248]","[188, 25]",4,3,0.16,4,5,5,-1,False
10010,fmt,bugtrapforest,10,"[144, 93]","[44, 243]",0,1,0.58,6,5,5,-1,False
10011,fmt,bugtrapforest,10,"[144, 93]","[44, 243]",1,0,0.27,4,5,5,-1,False
10012,fmt,bugtrapforest,10,"[144, 93]","[44, 243]",2,1,0.79,7,5,5,-1,False
10013,fmt,bugtrapforest,10,"[144, 93]","[44, 243]",3,3,0.91,9,5,5,-1,False
10014,fmt,bugtrapforest,10,"[144, 93]","[44, 243]",4,1,0.82,5,5,5,-1,False
10015,fmt,bugtrapforest,10,"[23, 210]","[224, 29]",0,2,0.35,6,5,5,-1,False
10016,fmt,bugtrapforest,10,"[23, 210]","[224, 29]",1,6,0.81,10,5,5,368.36,True
10017,fmt,bugtrapforest,10,"[23, 210]","[224, 29]",2,2,0.54,8,5,5,-1,False
10018,fmt,bugtrapforest,10,"[23, 210]","[224, 29]",3,0,0.07,1,5,5,-1,False
10019,fmt,bugtrapforest,10,"[23, 210]","[224, 29]",4,2,0.29,5,5,5,-1,False
10020,fmt,forest,13,"[108, 175]","[33, 11]",0,3,0.43,6,5,5,-1,False
10021,fmt,forest,13,"[108, 175]","[33, 11]",1,3,0.62,9,5,5,-1,False
10022,fmt,forest,13,"[108, 175]","[33, 11]",2,6,1.09,14,5,5,480.65,True
10023,fmt,forest,13,"[108, 175]","[33, 11]",3,4,0.77,7,5,5,-1,False
10024,fmt,forest,13,"[108, 175]","[33, 11]",4,4,0.75,10,5,5,338.81,True
10025,fmt,forest,13,"[234, 250]","[11, 97]",0,0,0.26,3,5,5,-1,False
10026,fmt,forest,13,"[234, 250]","[11, 97]",1,0,0.11,1,5,5,-1,False
10027,fmt,forest,13,"[234, 250]","[11, 97]",2,6,0.85,10,5,5,388.61,True
10028,fmt,forest,13,"[234, 250]","[11, 97]",3,4,0.46,4,5,5,-1,False
10029,fmt,forest,13,"[234, 250]","[11, 97]",4,2,0.32,4,5,5,-1,False
10030,fmt,gapsforest,19,"[218, 110]","[38, 99]",0,1,0.32,4,5,5,-1,False
10031,fmt,gapsforest,19,"[218, 110]","[38, 99]",1,0,0.04,1,5,5,-1,False
10032,fmt,gapsforest,19,"[218, 110]","[38, 99]",2,2,0.53,7,5,5,-1,False
10033,fmt,gapsforest,19,"[218, 110]","[38, 99]",3,1,0.46,6,5,5,-1,False
10034,fmt,gapsforest,19,"[218, 110]","[38, 99]",4,1,0.25,3,5,5,-1,False
10035,fmt,gapsforest,19,"[206, 209]","[6, 27]",0,1,0.35,5,5,5,-1,False
10036,fmt,gapsforest,19,"[206, 209]","[6, 27]",1,0,0.23,2,5,5,-1,False
10037,fmt,gapsforest,19,"[206, 209]","[6, 27]",2,2,0.43,6,5,5,-1,False
10038,fmt,gapsforest,19,"[206, 209]","[6, 27]",3,0,0.05,1,5,5,-1,False
10039,fmt,gapsforest,19,"[206, 209]","[6, 27]",4,1,0.16,3,5,5,-1,False
10040,fmt,maze,24,"[93, 71]","[223, 196]",0,2,0.44,4,5,5,-1,False
10041,fmt,maze,24,"[93, 71]","[223, 196]",1,1,1.39,9,5,5,-1,False
10042,fmt,maze,24,"[93, 71]","[223, 196]",2,3,0.96,10,5,5,-1,False
10043,fmt,maze,24,"[93, 71]","[223, 196]",3,2,1.09,8,5,5,-1,False
10044,fmt,maze,24,"[93, 71]","[223, 196]",4,1,0.52,3,5,5,-1,False
10045,fmt,maze,24,"[229, 7]","[73, 228]",0,2,1.19,4,5,5,-1,False
10046,fmt,maze,24,"[229, 7]","[73, 228]",1,1,1.2,6,5,5,-1,False
10047,fmt,maze,24,"[229, 7]","[73, 228]",2,3,1.55,9,5,5,-1,False
10048,fmt,maze,24,"[229, 7]","[73, 228]",3,2,1.02,7,5,5,-1,False
10049,fmt,maze,24,"[229, 7]","[73, 228]",4,1,0.14,1,5,5,-1,False
